text,id
pesan alamat mau uang terima pesan,0
beli kemas baru kirim kemas lama bintang kon tl,0
anjing nyata palsu barang awas tipu oi asli segel distributor,0
barang kw jangan beli sini,0
buruk,0
barang bosok sekali pake rusak mau claim jawab belit ama adminnya,0
chat balas kuota janji masuk hancur la parah parah,0
kasih adaptor gepeng tipu,0
jir hari pake rusak quality control dong bener ahelah,0
gmn ssd pake minta ganti,0
beli malah sering ngeblur kalau pakai zoom terus hubung cs suruh klaim garansi minta alamat hadeuhh webcam juta kualitas sampah,0
sesuai gambar janggan percaya ama seller tipu kualitas jelek,0
kirim punya rasa tanggung jawab paket habis renang comberan mana yakin isi pakai masuk bak sampah,0
trigger ampas macam,0
jelek,0
barang sampah kirim alamat tong sampah sangat kecewa admin merespon sama sekali chat lihat barang kirim dead pixel lalu layar monitor balik sangat kecewa catat buat beli monitor kualitas layar kurang baik rejeki lebih bilah merek bagus sangat sesal belanja sini rekomendasi belanja sini,0
jujur lihat kalau paksa barang jual barang kirim sesuai pesan akhir beli suruh kirim barang solusi barang resiko barang tawar memang benar mungkin,0
beli tgl pesan selesai tgl mouse rusak tgl komplain toped admin ditanyain gmna cara klaim garansi sangat bantu chat hari bales dibales,0
gua beli dapetnya desc gada jelas kena versi bagus rgbnya rgb bener bener cuma red green blue sisa warna gaguna switch puller gadapet rgb redup pemberitahuan kena versi keyboardnya kecewa kapok beli da ambil ae v rt x tuh bagus drpd kecewa mau gua jual pokok,0
belanja official store kondisi barang terima sampah barang rongsok terima kasih,0
ngaco banget sen mouse lengkap tutup batre sama bluetoothnya,0
barang emang harga asli an seller sok sok an bikin diskon diskon emang keras,0
salah beli gabisa dituker pas coba nyata gabisa pas tanya klaim garansi gimana bales malah bot tai,0
sangat puas baik produk layan barang cacat kondisi tutup meja tutup rapat karena pasang engsel sejajar tinggi pendek sebab listnya sobek paksa tutup daun meja jadi fix cacat pabrik bukan masalah kirim nyata komplain terima toko jual suruh hubung sendiri kurir,0
quality barang jelek baut lepas terus,0
banyakk rusakk lecet nyaaaa,0
barang pesan dateng bayar harga dateng makasih ush bukti cek keluar barang cek beli jgn beli unboxing terlalu penting quota,0
keyboard nyala sama sekali padahal baterai baru coba beberapa kali memang lebih murah toko barang sama bohong,0
barang rusak kirim,0
bener nih harus dateng tuh meja utuh malah pasang kecil banget mau lem ngaco nih,0
driver ngaco bukan toko barang smart nama bengak gua kasih puas komen lu bintang satu buat driver,0
kecewa chat kg bls wa kg bls lari gitu aj sampah,0
barang kirim salah pesan webcam logitech logitech official kok bs dikirimmya headphone jbl tukar barang butuh kerja sungguh lama,0
bagus banget keyboardnya packing sangat aman double kardus warna keren,1
aaaa bagus banget kirim cepatt aman packaging nyala tdi udh coba beli harga senengggbangett,1
terima kasihh boss mantappss smoga lancarr n berkah rezeki smngttt boss,1
barang buwaguusss sesuai pesan angin kencang angin puting beliung laptop ademmmm benerrr,1
mantap bgt kualitas beneran sama kaya webcam juta,1
selamat mulus fungsi sempurna seller mau sabar konsultasi emas aman recommended,1
proses pesan kirim barang cukup cepat produk sesuai deskripsi seller responsif sukses tetap jaga protokol sehat seller terima kasih,1
jual ramah barang bagus sesuai pesan packing rapi padahal cmn pesan,1
selamat siang bos pesan terima pasang coba packing sangat rapi aman product mantap pokok top markotop layan sangat oke toko sangat recomended sekali makasih banyak atas semua salam sukses sehat sejahtera selalu aamiin,1
recommended seller,1
top bgt,1
asli samsung layan sangat baik,1
mantap laptop jd adem cpt panas,1
memory pasang keping gb semua fungsi baik kirim lumayan cepat recommended seller,1
waw murah bangetttt packingnya rapih produk bagus keren mantap sangat uhuuy pis pokok hehehehehe,1
mantab respon cepat pesan kecewa rekomended buat belanja spare part terima kasih atas kerja sama,1
recommended fast print fast response,1
gila kirim cepet banget dr surabaya bogor fast respont barang sesuai banget packing rapi recomended seller euy ma kasih gan thanks toped,1
barang cepet banget recommended tengkyuuu,1
recommended seller respon cepat kirim cukup cepat,1
earcupnya lembut best value headset sound mantap nyaman praktis tinggal plug and play mantaaaap laaah buat gamer,1
respon cepat barang original baik recomended packing baik sukses selalu,1
kualitas suara banget harga jangkau barang jamin ori daftar website razer langsung pokok bagus bassnya rasa,1
kualitas produk sangat baik harga tera nyaman pakai suara keras fungsi baik definitely would recommend this,1
mantaaap tanggap banget fast respon juossssssss,1
barang bagus bangett harga affordable kualitas lumayan gokil sihh,1
mantappppp recommended keyboard ma mousenya,1
mantab minnn kirim jam sore gasss,1
mantap banget kualitas usah ragu,1
cakep produk rekomen banget nih sesuai deskripsi,1
packing rapih fast response rgbnya bagus sangat rekomendasi,1
as always gapernah gagal belanja sini thanks ggs,1
cakep bet dah mau duduk kursi sampe mau diri rasa,1
overall muas layar bagus ipsnya bagus ips tv warna bagus oversaturated brightness sangat terang buat pakai gelap tetap silau biar brightness layar putar cm kaki gampang dorong refresh rate bukti cepat buat fps mantab kalau asa softwarenya mungkin lebih bagus jd setting perlu lewat tombol belakang dpt kabel display port desain keren hampir bezelless nice,1
love it product bagus worth it thank you,1
airo punya customer service super duper bagus kapan punya tanya selalu jawab okey produk bagus puas banget love airo,1
barang mantap kualitas kokoh garansi seller ramah pokok mantap banget,1
layan sangat muas seller rekomended,1
luar biasa packing jamin aman pakai bubblewrap cepet banget proses senin malam cekout pagi kirim hari rabu sore sangat cepat sangat puas terimakasih sukses selalu yah tech cube,1
mantap sekali sangat recommended respon seller bintang baru pesan tadi malam hari langsung datang,1
bahan plastik kuat buat topang sih kuat buat tablet gaisss lebih baik jangan beli,0
barang pernah sampe kata kirim nyusul tanya no resi,0
guna gimana,0
saran buat temen temen beli sini jangan buang box simpan terus biar kalo baru beli terus rusak claim garansi,0
packaging aman bgt bubble wrap tipis alhasil kemas barang penyok pas dateng thank god barang aman official store lebih baik fix min next duh,0
biar gambar cerita pesan bh rusak bh jgn percaya balas bela apa seller amanah alas rusak expedisi padahal lihat bagi letak cacat bukan expedisi bagi kalaupun expedisi ceroboh packingan kardus per satu bubble tipis sekali lewat ada tempel fragile padahal pesan bubble kardus tambah seller usaha limpah biar ganti asuransi untung diviseo unboxing tolak dr expedisi pernah cerita panjang lebar ulas hubung nyaman buyer utk jadi timbang baca waspada waspada itikad baik usaha lepas tangan bahaya rusak tokopedia kalau banyak seller begini kasih note waktu proses dichat dulu kirim utk hati hati mau utk jual aju resolusi pengambalian dana tokopedia tp alih asuransi utk akhir tetap tokopeda refund dana trims admin,0
chat jadi makesure barang warna jgn kaku kaku bgt jadi roko,0
barang terima kondisi rusak alami beberapa beli complain reject seller tokopedia tengah retur sayang situasi mudah kirim barang jadi apa buat sangat recommend beli toko cenderung amanah,0
ampun dah packing asal pernah gua terima klu patah gimana awas isi rusak pas gua pake,0
produk chip dalam daur ulang pasang giling asli beli harap perhati beri perhati khusus,0
toko sesuai sama isi not recommended,0
isi paket via link rekomendasi selalu gagal via ovo mandiri sampe bca selalu gagal siap system jangan jual,0
nope kalau pikir mau beli saran jangan product sering rto gajelas cs after sales service buruk jamin alam kalian kecewa,0
layan buruk kirim lama respon lama jangan beli barang sini kalo mau kecewa cukup sekali,0
sama sekali dpake asli nyesel,0
produk kirim awal fungsi mesti meski kirim lg produk lain seller sangat layak jadi official store kirim barang sesuai jadwal janji tokped sangat slow response seller not recommended,0
respon cellernya tengah mati nungguinnnn kirim nunggu hari hari padahal pake kirim instan dah bayar ongkir mahal celler sama beli tinggla jakarta utara g arekomen buat beli cari emosi nungguin,0
parah proses lama banget moga jadi pelajaram buat team logitech,0
harga sih promo pake gojek instant lebih mahal ongkirnya drpd barang mau dipake cepet pas nyampe eh nyata patah belah standnya kecewa sih karna kalo jual promo cacat catet gitu biar customer beli barang promo kalo tau cacat seller si oke buat tuker barang tp udh efektif mau pake cepet jd retur ongkir lebih mahal kualitas barang kecewa poko kapok beli sini,0
nyata foto display varian bonus harga beda,0
estimasi proses pesan hari bung online platform kalo siap cepet menuhin customer online jual offline customer beli online buat dipake segera kalau apa tulis deskripsi produk customer nanya dulu baru info proses mesan hari efek kemas cuma bungkus bubble wrap tipissss bayang kalo customer apes barang jadi ancur isi jangan pernah janjiin customer barang weekend kalian libur sabtu minggu,0
pesan tanggal maret jam pakai kirim instant tanggal maret padahal bayar mahal kirim esok hari bukan salah antar driver antar paket baik durasi proses toko sangat lama padahal butuh tanggal maret makanya pilih kirim instant tanya pihak toko paket kirim hari jawab nyata paket kirim hari kalau kirim hari bilang aju cancel pesan respon jual layan sangat sangat buruk recommended moga lebih baik depan,0
barang nyata palsu,0
jelas info bohong bikin alam senang kalo mau beli produk dbe cari toko laen tipu tipu headphone dateng ada bikin kuping sakit,0
rgb mati awal datang jual respon barang lulus qc seperti jual hati hati kalau beli,0
belanja sini dapet unit cacat dblg suruh aju komplain nti mau dituker trnyta toko sndiri blg gabs dituker official store mah jelas solusi gmn,0
layan toko sangat buruk order laptop sini barang laptop mau nyala habis usaha minta solusi seller awal seller mau respon ada tawar solusi sangat lamban lalu mikir respondnya lama banget paksa aju komplain komplain seller pernah jawab diskusi atau respon kendala dicuekin lama hari jangka waktu habis dana refund kalau baca ulas anjur utk order toko jangan goda sama tittle official store nyata layan toko lebih baik merchant biasa harga lebih murah,0
kirim laptop dr toko cek laptop kasih beli layar pecah kerdus rusak padahal packingan rusak habis waktu buat klaim tokpedia minggu minggu baru hasil klaim pihak asuransi nyata toko verified jamin layan toko buruk respon cepat awal beli dikomplen sangat lama waktu mau tanggung jawab padahal jelas komplain langsung hari berikutny paket buka seharusny langsung tuker unit langsung dr toko trus apa gunany tulis deskripsi garansi toko hari cukup akhir beli sini thanks,0
jangan mau beli sini cek review jual banyak rusak kirim korban cek foto barang order jadi korban kacau toko jual barang rusak,0
meja laptop buka kardus pecah ujung retak bagi bawah trus meja hijau kusam barang bekas pakai seller komplain tolak tukar barang alas bukti kurang malah arah utk guna asuransi dr tokopedia proses ribet bukti musnah barang pas lihat nyata banyak dapet meja pecah rusak semua kecewa saran kalau jual jujur kl memang jual barang bekas ex display bilang tulis deskripsi jujur tokopedia lebih selektif toko packing barang kes cuma pakai kardus tipis pakai bubble wrap sama sekali moga customer tipu,0
cek kirim khusus sd,0
barang baru datang pertma coba samsung baca baru pasang cctv ternyta coba samsung pensran coba oppo ternyta pensran coba disamsung ternyta dh umur baru kasih bintang klaim garansi ternyta ribet belnja apliksi maupun toko enkn tko jual disurh komplain toped komplain toped disurh komplain dulu gimna baiknuy sama pok kapok,0
percaya simpan data kalian mending pikir dulu baru pakai blm minggu kartu langsung baca mana data bsa selamat proses garansi pake estimasi bulan yap bulan mending beli merk baru blum jamin kualitas be carefull and keep healthy thx,0
sangat kecewa sekali produk kaki goyang rata beli warna putih sesuai foto produk barang warna coklat jual ngotot meja terima warna putih sesuai foto mau terima komplain lihat review beberapa beli lain alami sama kirim warna beda pes walaupun tanya dulu msg pasti beli tulis pesan waktu order percuma,0
baru pake hari udh ulah susah hidup kadang hang frezee blank on komputer minta ganti respon trs buat apa garansi lifetime not recommended,0
ram gabisa pakai udh minta tuker gilir dimintain refund susah banget jangan mau beli sini pokok recommend banget hati hati sama ram palsu,0
suara kecil belah produk masalah kaulitas kontrol rekomen,0
laptop rusak pass aktif fan error baik nyata keyboardnya rusak ganti keyboardnya nyata adaptor rusak jangan belanja sini,0
barang sesuai bagus cepat,1
produk mantapp,1
barang barang bagus sesuai deskripsi produk,1
ukur karet sesuai mantul waktu kirim lebih cepat jadwal mantap dah is the best,1
kirim cepat barang kondisi bagus makasih,1
barang sesuai pesan kondisi fungsi baik seller responsif proses kirim cepat recommended,1
barang bagus kualitas product bagus harga jangkau recomended,1
brg packing oke cocok bt kado bonus dompet koin,1
lempar jauh sesuai deskripsi produk selalu ready stock packing rapi,1
barang bagus sesuai harap pouchnya mantap cukup seller kasih barang sesuai iklan,1
kirim cepat barang bagus packing rapi terimakasih,1
kualitas product bagus material bagus harga jangkau recomended,1
kualitas product bagus material bagus recomended harga jangkau,1
baru pes langsung proses jual ramah beyblade putar kencang harga lebih murah toko laen,1
kartu lengkap harga kompetitif seru bgt game,1
kartu lengkap seru bgt game harga kompetitif,1
terima kasih pesan sesuai,1
kartu lengkap packing baik model baru ready stock,1
barang sesuai deskripsi kirim cepat recommended seller,1
barang sangat kualitas banding harga lengkap banyak tas pandu jelas buku moderator tebal box kartu tebal mantappl,1
mantap gan barang darat mulus kartu oke per lengkap buku pandu ama buku catetan buat moderator makasih gan,1
enak kartu sesuai ekspektasi plastik beneran licin rasa bakal awet,1
barang fungsi baik packaging aman packaging aman barang original,1
bagus tahan lama banget,1
paket terima baik sesuai pesan respon proses cepat packing rapi safety thanks gan,1
barang original packaging aman,1
bagus bangettt dapet promo jadi cuman bayar rp mantap,1
barang bagus mudah robek bahan plastik,1
keren tiba kartu remi packaging aman,1
packaging aman barang fungsi baik,1
barang fungsi baik packaging aman,1
kualitas barang bagus harga murah,1
kirim cepat packing aman harga flashsale,1
beli barang tuju sangat muas,1
sangat amazing cool a f barang cepat sampee luar biasa,1
layan baik barang original,1
mantap nih kartu murah bagus kualitas nyesel,1
sesuai ekspektasi sih auto ajar triumph,1
packing rapi kirim cepat seller responsif produk bagus ori recommended pokok,1
mantap barang bagus pack aman banget recommended seller buat nyari playing card begini,1
barang datang ada bagus,0
bikin kecewa sen items nyampe cuma tunggu kurang barang uno stacko kayu uno card werewolf kalau refund uang,0
sangat kecewa dulu pakcing sangat buruk box kayu hancur beli bh jual bagus retur kena biaya paksa jual box kayu,0
kecewa sih potong rapi ukur beda beda lebih besar lebih kecil wtf harga segitu harus kualitas uda bagus worth setip kartu remi bagus kemas doang kemas oke tarik tp paling penting kan isi pak wtf ikhlas,0
kecewa kok brg rusak kirim chat lama responnya batas waktu otomatis habis padahal langgan lama toko,0
padahal minta dino sama unicorn mlh dtg mickey mouse anak kecewa loh mba,0
buset kasih merk ares pake pod kuy hari langsung bau gosong perdana kecewa belanja toko,0
maaf aga kecewa bli ko polos gada tulis kuy jadi gayakin asli skali lg mohon maaf ulas jujur,0
barang sesuai sama gambar ukur kecil kecewa pkoknya,0
barang kecil banget salah sih gimana nama kecewa,0
sesuai harap barang sangat kecil jadi susah buat dimainin,0
sen apa kasih apa bgt,0
si bukan mobil hotwheels sesuai sama iklan kecewa,0
harga gin kurang worth tebal lebih murah detail bahan lebih baik sorry,0
seller kurang respon kecewa,0
kecewa sih seller kurang friendly,0
barang rusak fungsi sama mainin sama sekali parahhh,0
fungsi pisau tusuk semua tong kepala tetap stay,0
barang kagak sampe beneran kagak sampe jelas toko apa aplikasi kecewa,0
produk sekali pakai doang rusak kecewa bangettt,0
barang tipis banget jd udh pecah jd langsung buang tempat sampah,0
barang datang kasih rusak sungguh kecewa main nyangap kapok beli sini,0
kecewa barang pas pakai,0
kirim lama main fungsi baik,0
maennanya macet g nutup mulut,0
kecewa,0
retak padahal pakai asuransi sangat kecewaaa,0
barang rusak yah harga kualitas,0
barang retak malas retur lama anak keburu sedih,0
kualitas produk kecewa mulut buaya baru buka stuck pakai klaim kembali barang nyata prosedur mudah akhir cuma jadi sampah rumah,0
proses kirim kecewa customer sangat rasa bantu tanya jual merespon kurang baik so sad,0
kecewa tunggu respon baik jual,0
kecewa sama toko,0
barang lubang model persegi kirim buyer model bulat warna beranta jelek sekali,0
kualitas main buruk,0
barang rusak,0
bahan jelek kualitas sangat jelek baru brp menit rusak,0
jalan kereta anakqu jadi kecewa,0
barang kecewa sekali,0
barang jalan,0
bahan plastik jelek suara kecil banget lampu terlalu terang bru dimainin patah,0
main rusak dipake,0
produk cacat kepala penyok minta tukar kasih,0
jelek baru coba rusak gigi pencet,0
beli kirim doang balikin duit gw tipu,0
jelek barang sini rusak jalan,0
bom terima paket selesai yah gimana sih,0
barang jelek baru mau pake gosong segel udh buka,0
barang basah air bau kwalitas bagus spt gambar cat byk kelupas,0
cat jelek banget detailing jelek parah murah sih gitu jelek,0
selesai padahal barang datang sama sekali tipu,0
blm dimainin barang udh cacat mana no angka pudar parah dah,0
masa baru dateng langsung rusak,0
barang jelek mudah sobek,0
cacat gitu jidat mana jelas bgt hadeeuuhh,0
sendi seret sama sekali lossssss buat jadi stand meyesell banget,0
beli biji telp sama toko nyata barang n d tawarin ganti murah mau eh tetap kirim among us bukan uv kan bilang mau rugi,0
pesan model love dtang we jdi cat ktanya ready bilang,0
bocor payah periksa dulu,0
packing asal barang sangat kecewa kotor bocor musik jalan banyak baret,0
jelak patah pedang meletot semua apa warna salah fatal,0
cacat gaming,0
gw sen apa kasih warna apa gila ni jual,0
harga mahal sesuai ekspetasi cat rapih bahan kyk plastik murah,0
kirim beda barang lebih murah selisih eh rusak mau retur maenannya dah lanjur buka yauda gw minta balikin selisih suruh isiin pulsa gw pulsa ditanyain jawab doang parah amanah,0
kartu kw semua kata ori gimana sih,0
kotak jelek penyok bungkus ada doang,0
sampenya lama bgd minggu trs pas barang coba malah patah sial kan,0
no good puassss,0
proses lama seller tanya jawab mohon sabar mohon tunggu kasih pasti kapan kirim hrs jawab end up barang pickup sendiri gudang kurir perlu,0
toko sportif koperatif alam buruk belanja toko barang cacat aju keluh tanggung jawab chat lewat tokped atau wa tanggap muter muter doang banyak basa basi padahal mau tanggung jawab lu makan tuh uang buat istri lu hati hati toko,0
jual kok ngotottt laku toko bang,0
kirim lama banget dough jelek banget lentur biasa,0
paket mulus tuju toko percaya mantab,1
suka anak jd neng sena barang bagus mksh,1
sampe langsung buat kreasi neng bgt kirim cepat makasih seller,1
respon barang proses cepat thx kyou recommended,1
anak suka aman si kecil,1
mantep bgt pokok bagus bola warna warni penyok bagus anak suka,1
ekspektasi recommended seller,1
mantaaappp bagus kereeennn,1
barang mantap anak suka dah gitu kirim cepat banget hari pesan besok dah sampe,1
layan bagus mantap rekomen banget beli sini terima kasih,1
bagus banget main aku suka,1
bagus bengedd sesuai ekspektasi jugaaa,1
barang sesuai deskripsi kirim cepat,1
cantik banget,1
sampe cepet makasihh yahh aku neng bangettt,1
mantaaaaap sesuai gambar jujur amanah seler nyesel belanja toko mantaaaaap,1
pesan cepat proses packing rapi sesuai pesan juragan mantab selalu repeat order kesini,1
aku suka banget next ken nyobain semua rasa nyaman guna,1
suka banget ama slamenya bonus byk kirim cepat moga makin sukses seller,1
suka banget wangi bgt tekstur bagus bangeetpacking rapi,1
bagus banget top,1
mantap pernah kecewa belanja sini figure sesuai foto kawaii banget wangy wangyyy hehe becanda om,1
mantap gan barang aman makasih gan,1
bagus banget barang,1
bagus bgt sumpah harga murah bgt,1
manteb bangettt lov it,1
mobil bagus bgt kirim super cepat harga jangkau,1
mantap banget recomend barang terima sesuai gambar,1
okeeee siiipps kereeennn abis utk tempatbhotwhealsnya gan,1
keren banget sempurna,1
overall banget,1
main bagus banget,1
keren banget anak suka banget,1
sukaa sekaliiii sellernya responded banget terima kasih sukses seller,1
barang kerennnn banget sayang bungkus plastik biasa shg kes kurang premium overall kuereennnn terimakasih,1
bagus banget,1
kualitas oke sesuai harga keren parah,1
mantap sesuai deskripsi gambar,1
first time beli pake ragu pokok worth it banget,1
the best banget kirim cepat,1
saran jangan transaksi sama toko pesan kirim selalu bohong klo tanya,0
kali cek baik baik bungkus,0
barang pernah malah suruh ngambil sendiri rekomen banget,0
barang datang dana,0
parah toko tanggung jawab,0
adda mesin jangan beli,0
dapetnya gratis tokped ehh kirim enak jidat packing jelek main cek dulu roda depan jadi kereta jalan sorry foto keburu kesel sekarang main udh ancur kayak sama ponakan next kalo pesan jangan liat apa cukup layan penuh hati,0
hati hati guys gua beli terus bener bener gabisa dipake sengaja ngasih bintang lagi gua chat abang respon,0
beli pakai hari hangus kapok beli sini catridge sampe minggu,0
order gambar truck madam kok kirim mobil police not recommended,0
nyata bukan hot wheels asli bahan plastik harap beri terang barang original,0
nyata bukan ori harga sesuai kualitas bahan plastik harus kasih terang deskripsi,0
jar bahan bagus lumayan tutup jar pita tlg perhati lubang terlalu besar gampang tarik smp lepas tp balik tutup stick kecil lobangnya stick plastik g masuk akhir hrs ganti tutup stick jd tutup pita tp y pe er ngerjainnya udh keiket gt maaf panjang reviewnya bagus,0
merek kereta beda banget sama gambar jual merek jual keluar china bukan merek thomas train set thamos train set rel kretanya rata stabil kalo nyari kualitas mending cari tipu sebenrnya liat review dulu mgkn kalo jual ngasih barang sesuai gambar bakal puas,0
bukan soal uang soal amanah kirim barang kirim lengkap bukan niat kirim kurang malah belibet inbox kali kali alas minta no pesan no resi kasih tetep alesan belibet salah sendiri kirim brg lengkap sangat rekomended,0
order kirim cuma weekend senin baru cek system close jual tipu tanya mau jawab padahal online,0
seller jelek recommended mending usah belanja sini,0
maaf sya kasih bintang terang udh jelas pilih warna kuning rusa pilih warna warna kuning warna hijau biru dteng malah warna pink kalau stok warna konfirmasi lebih kecewa si karna anak cowo bukan cewek malah kasih warna pink kali sblum kirim coba cek,0
cek baterai gan baterai bekas kasih pantes mau hidup suara,0
kayak smua barang kempeess makan dituliss klo kempes gabisa ganti,0
ujung bompel mungkin bentur pas ekspedisi saran packaging lebih aman utk barang mudah pecah,0
proses cepat produk bagus finising mulus cuma saran om bagi kelam fi tingkat beber sisi kurang nempel soal sama lobang buat gantung d besar om terima kasih,0
nyata barang kw kirain beneran promo,0
barang palsu bukan hot wheels original made in china bukan made malaysia spt skripsi,0
mobil bukan asli hot wheels kira asli,0
kali kirim barang cek dulu fungsi pertama dinamo ny yaa walaupun seller kirim dinamo tapi tetep fungsi motor lampu musik tombol mesin ny nyala udh ces hari ttep ajh mau nyala,0
barang kapan datang gua uda lama nunggu males gua beli,0
kaki main robot hulk mohon cek sblm kirim brh,0
mending toko,0
kecewa robot lot kyaxnya kw ny dah blanja sini,0
hati hati jebak be careful judul deskripsi tulis dart game besar isi paket buah papan dart inch nyata kirim ukur inch be careful,0
barang lengkap next cek dlu sblm kirim cm asal kirim jual kok mau rugi mlh ngrugiin customer suruh kirim kurang barang mau ribet gmn mau dpt puas n percaya pelangg,0
barang terima kondisi pinggir patah,0
barang kirim beli minta kirim ulang toko tolak,0
gaes kirim barang salah,0
kiri beli beli kanan beli pertama warna kualitas beda bin bahan tipis warna cerah beli pertama,0
